NroFactura;FechaFactura;IdCliente;MontoSinImp;Impuestos;MontoFactura
1;2014-01-03;100;765.68;203.53;969.21
2;2014-01-03;67;420.60;111.80;532.40
3;2014-01-03;77;108.98;28.96;137.94
4;2014-01-04;54;304.94;81.05;385.99
5;2014-01-04;14;107.07;28.45;135.52
6;2014-01-04;18;665.31;176.85;842.16
7;2014-01-04;58;335.53;89.18;424.71
8;2014-01-04;10;292.51;77.75;370.26
9;2014-01-05;2;526.71;140.00;666.71
10;2014-01-05;33;485.60;129.08;614.68
11;2014-01-05;104;519.06;137.97;657.03
12;2014-01-05;36;269.57;71.65;341.22
13;2014-01-05;16;270.52;71.91;342.43
14;2014-01-05;75;483.69;128.57;612.26
15;2014-01-06;45;644.28;171.26;815.54
16;2014-01-06;9;768.55;204.29;972.84
17;2014-01-06;22;406.26;107.99;514.25
18;2014-01-06;99;805.83;214.20;1020.03
19;2014-01-07;101;607.00;161.35;768.35
20;2014-01-07;48;136.70;36.33;173.03
21;2014-01-07;96;789.58;209.88;999.46
22;2014-01-07;18;581.19;154.49;735.68
23;2014-01-08;2;501.85;133.40;635.25
24;2014-01-08;78;470.31;125.01;595.32
25;2014-01-08;82;836.42;222.33;1058.75
26;2014-01-08;45;838.33;222.84;1061.17
27;2014-01-08;104;392.88;104.43;497.31
28;2014-01-09;95;416.78;110.78;527.56
29;2014-01-09;79;397.66;105.70;503.36
30;2014-01-09;8;353.69;94.01;447.70
31;2014-01-09;68;304.94;81.05;385.99
32;2014-01-09;99;489.43;130.09;619.52
33;2014-01-09;99;451.19;119.93;571.12
34;2014-01-10;8;281.04;74.70;355.74
35;2014-01-10;42;268.61;71.40;340.01
36;2014-01-10;102;244.72;65.04;309.76
37;2014-01-10;84;629.94;167.45;797.39
38;2014-01-11;51;660.53;175.58;836.11
39;2014-01-11;61;454.06;120.69;574.75
40;2014-01-11;88;390.01;103.67;493.68
41;2014-01-11;88;609.87;162.11;771.98
42;2014-01-11;40;154.86;41.16;196.02
43;2014-01-12;12;769.50;204.55;974.05
44;2014-01-12;68;124.27;33.03;157.30
45;2014-01-12;31;224.64;59.71;284.35
46;2014-01-13;87;282.00;74.95;356.95
47;2014-01-13;82;632.81;168.21;801.02
48;2014-01-13;9;740.83;196.92;937.75
49;2014-01-13;85;434.94;115.61;550.55
50;2014-01-14;23;791.49;210.39;1001.88
51;2014-01-14;26;365.16;97.06;462.22
52;2014-01-14;43;130.96;34.81;165.77
53;2014-01-14;16;585.02;155.50;740.52
54;2014-01-14;26;296.33;78.77;375.10
55;2014-01-14;57;285.82;75.97;361.79
56;2014-01-15;16;274.35;72.92;347.27
57;2014-01-15;18;579.28;153.98;733.26
58;2014-01-15;7;312.58;83.09;395.67
59;2014-01-15;83;319.28;84.86;404.14
60;2014-01-15;77;525.75;139.75;665.50
61;2014-01-15;102;112.80;29.98;142.78
62;2014-01-15;50;311.63;82.83;394.46
63;2014-01-15;73;224.64;59.71;284.35
64;2014-01-15;38;173.02;45.99;219.01
65;2014-01-15;13;601.27;159.82;761.09
66;2014-01-16;42;600.31;159.57;759.88
67;2014-01-16;50;481.78;128.06;609.84
68;2014-01-17;79;719.80;191.33;911.13
69;2014-01-17;17;695.90;184.98;880.88
70;2014-01-17;20;581.19;154.49;735.68
71;2014-01-17;102;227.51;60.47;287.98
72;2014-01-17;26;330.75;87.91;418.66
73;2014-01-17;52;513.32;136.45;649.77
74;2014-01-17;77;253.32;67.33;320.65
75;2014-01-17;78;481.78;128.06;609.84
76;2014-01-17;49;483.69;128.57;612.26
77;2014-01-18;68;136.70;36.33;173.03
78;2014-01-18;56;119.49;31.76;151.25
79;2014-01-18;37;510.46;135.68;646.14
